,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
2011-03-14 06:58:21.993311,0.0001663968295265918,3.1328335148487763,0.015540438926358698,-1.7937343751580528,0.004374546540897938,5.297805011838728
2011-03-15 16:04:54.898175,0.00016479066571393038,3.138031935123632,0.015490320395296443,-5.674328367791026,0.004374518225084223,5.2975507664211205
2011-03-16 22:22:53.164991,0.0001724912023733495,3.0941822931082625,0.015464293324307663,-3.964206856243306,0.004374493454517477,5.301276522167765
2011-03-17 17:43:47.943840,0.00016829447464490095,3.111046937023131,0.015441320395144474,-5.1875617553308935,0.004374477863893667,5.303289214436014
2011-03-18 13:33:04.434624,0.0001704941688096445,3.2408772811339244,0.015411111448830027,-0.11660902217152813,0.004374463724818492,5.305344094744677
2011-03-20 15:59:24.328320,0.00017048518780968472,3.212666492687338,0.015275379719077943,-5.724540860022702,0.004374984902900798,5.334232524193411
2011-03-21 13:06:56.710079,0.00021799238903142656,3.317184848442729,0.015281193746659077,-0.28636039027725335,0.004375460112850617,5.33949957547265
2011-03-22 17:16:22.109376,0.00017559351003774583,3.5245577091716638,0.015255315680728514,-5.66773934497712,0.004375438396922778,5.339638668712816
2011-03-23 18:01:10.300224,0.00017049482500025164,3.5613442025692823,0.01522624520362679,-5.490617932268069,0.004375413232223245,5.339551517827086
2011-03-24 04:33:55.302624,0.00017329771645858876,3.549122523052594,0.015213632397764158,-2.711937745466857,0.004375397551324413,5.341742577099046
2011-03-25 19:23:42.082943,0.00019128904751594325,3.4416610783742847,0.015167587050281024,-4.976703891635712,0.004375363619563406,5.341817443649733
2011-03-26 16:49:58.144224,0.0001932937861239943,3.425029722232794,0.015139563252382806,-5.616620617596901,0.004375349701866766,5.343406079441494
2011-03-27 14:35:14.362368,0.00019549348830061593,3.4040414392554625,0.015109554808635213,-6.168921960193908,0.004375333798172396,5.344853359851665
2011-03-28 13:31:14.301408,0.00019619302489599474,3.389132113982963,0.015068069509196987,-0.13538305123619843,0.004375317233250011,5.347030503889297
2011-03-29 14:37:41.680416,0.00019719229773882823,3.384975561086605,0.015035825235754339,-6.106301650412796,0.004375296531085292,5.347325198487292
